2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@ffaa6af
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@ffaa6af
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@6404f418
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration calendar -> org.hibernate.type.CalendarType@957e06
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@957e06
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@957e06
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@4dbb42b7
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration locale -> org.hibernate.type.LocaleType@7bab3f1a
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@7bab3f1a
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration currency -> org.hibernate.type.CurrencyType@12aba8be
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@12aba8be
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration timezone -> org.hibernate.type.TimeZoneType@71a8adcf
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@71a8adcf
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration class -> org.hibernate.type.ClassType@47e2e487
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@47e2e487
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@26e356f0
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@26e356f0
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@27f981c6
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration binary -> org.hibernate.type.BinaryType@55634720
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration byte[] -> org.hibernate.type.BinaryType@55634720
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration [B -> org.hibernate.type.BinaryType@55634720
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@2d710f1a
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@2d710f1a
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@2d710f1a
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration row_version -> org.hibernate.type.RowVersionType@48aca48b
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration image -> org.hibernate.type.ImageType@506ae4d4
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration characters -> org.hibernate.type.CharArrayType@52b1beb6
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration char[] -> org.hibernate.type.CharArrayType@52b1beb6
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration [C -> org.hibernate.type.CharArrayType@52b1beb6
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@73e9cf30
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@73e9cf30
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@73e9cf30
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration text -> org.hibernate.type.TextType@242b836
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration ntext -> org.hibernate.type.NTextType@942a29c
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration blob -> org.hibernate.type.BlobType@130c12b7
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@130c12b7
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@5d534f5d
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration clob -> org.hibernate.type.ClobType@2e6a8155
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@2e6a8155
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration nclob -> org.hibernate.type.NClobType@5824a83d
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@5824a83d
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@18df8434
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@229c6181
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration serializable -> org.hibernate.type.SerializableType@e350b40
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration object -> org.hibernate.type.ObjectType@1a942c18
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@1a942c18
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@738dc9b
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@3c77d488
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@63376bed
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@4145bad8
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@d86a6f
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@2892d68
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@5ab956d7
2021-05-15 17:20:15 DEBUG BasicTypeRegistry:156 - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@3646a422
2021-05-15 17:20:15 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
2021-05-15 17:20:15 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
2021-05-15 17:20:15 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
2021-05-15 17:20:15 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
2021-05-15 17:20:15 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
2021-05-15 17:20:15 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
2021-05-15 17:20:15 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
2021-05-15 17:20:15 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
2021-05-15 17:20:15 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [seqhilo] -> [org.hibernate.id.SequenceHiLoGenerator]
2021-05-15 17:20:15 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [increment] -> [org.hibernate.id.IncrementGenerator]
2021-05-15 17:20:15 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [foreign] -> [org.hibernate.id.ForeignGenerator]
2021-05-15 17:20:15 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [sequence-identity] -> [org.hibernate.id.SequenceIdentityGenerator]
2021-05-15 17:20:15 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [enhanced-sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
2021-05-15 17:20:15 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [enhanced-table] -> [org.hibernate.id.enhanced.TableGenerator]
2021-05-15 17:20:15 WARN  pooling:72 - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2021-05-15 17:21:27 DEBUG logging:112 - Logging Provider: org.jboss.logging.Log4jLoggerProvider
2021-05-15 17:21:27 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
2021-05-15 17:21:27 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
2021-05-15 17:21:27 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2021-05-15 17:21:27 INFO  Version:46 - HHH000412: Hibernate Core {5.4.10.Final}
2021-05-15 17:21:27 DEBUG Environment:199 - HHH000206: hibernate.properties not found
2021-05-15 17:21:27 DEBUG LocalXmlResourceResolver:57 - Interpreting public/system identifier : [null] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
2021-05-15 17:21:27 DEBUG LocalXmlResourceResolver:85 - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
2021-05-15 17:21:27 DEBUG JaxbCfgProcessor:116 - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
2021-05-15 17:21:28 DEBUG ServiceBinding:68 - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
2021-05-15 17:21:28 DEBUG RegionFactoryInitiator:118 - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
2021-05-15 17:21:28 DEBUG RegionFactoryInitiator:49 - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
2021-05-15 17:21:28 INFO  Version:49 - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration boolean -> org.hibernate.type.BooleanType@193f604a
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration boolean -> org.hibernate.type.BooleanType@193f604a
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@193f604a
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@29d89d5d
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration true_false -> org.hibernate.type.TrueFalseType@446293d
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration yes_no -> org.hibernate.type.YesNoType@2df9b86
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration byte -> org.hibernate.type.ByteType@50b5ac82
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration byte -> org.hibernate.type.ByteType@50b5ac82
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@50b5ac82
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration character -> org.hibernate.type.CharacterType@24fcf36f
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration char -> org.hibernate.type.CharacterType@24fcf36f
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@24fcf36f
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration short -> org.hibernate.type.ShortType@2b48a640
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration short -> org.hibernate.type.ShortType@2b48a640
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@2b48a640
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration integer -> org.hibernate.type.IntegerType@4bb33f74
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration int -> org.hibernate.type.IntegerType@4bb33f74
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@4bb33f74
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration long -> org.hibernate.type.LongType@73700b80
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration long -> org.hibernate.type.LongType@73700b80
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Long -> org.hibernate.type.LongType@73700b80
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration float -> org.hibernate.type.FloatType@4a7f959b
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration float -> org.hibernate.type.FloatType@4a7f959b
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@4a7f959b
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration double -> org.hibernate.type.DoubleType@63a12c68
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration double -> org.hibernate.type.DoubleType@63a12c68
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@63a12c68
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@6d4e5011
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@6d4e5011
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@fba92d3
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@fba92d3
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration string -> org.hibernate.type.StringType@16a0ee18
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.String -> org.hibernate.type.StringType@16a0ee18
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@5fbdfdcf
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@25084a1e
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration url -> org.hibernate.type.UrlType@383bfa16
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.net.URL -> org.hibernate.type.UrlType@383bfa16
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration Duration -> org.hibernate.type.DurationType@4d0f2471
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@4d0f2471
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration Instant -> org.hibernate.type.InstantType@7e7be63f
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@7e7be63f
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@1e04fa0a
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@1e04fa0a
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@543588e6
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@543588e6
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@7c24b813
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@7c24b813
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@58d75e99
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@58d75e99
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@6fd83fc1
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@6fd83fc1
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@7c711375
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@7c711375
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration date -> org.hibernate.type.DateType@3ee37e5a
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.sql.Date -> org.hibernate.type.DateType@3ee37e5a
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration time -> org.hibernate.type.TimeType@17497425
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@17497425
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration timestamp -> org.hibernate.type.TimestampType@316bcf94
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@316bcf94
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@316bcf94
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@1de5f259
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration calendar -> org.hibernate.type.CalendarType@2c1b194a
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@2c1b194a
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@2c1b194a
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@550dbc7a
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration locale -> org.hibernate.type.LocaleType@23c30a20
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@23c30a20
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration currency -> org.hibernate.type.CurrencyType@67f639d3
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@67f639d3
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration timezone -> org.hibernate.type.TimeZoneType@82de64a
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@82de64a
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration class -> org.hibernate.type.ClassType@61001b64
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@61001b64
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@4b8ee4de
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@4b8ee4de
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@1151e434
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration binary -> org.hibernate.type.BinaryType@4c1909a3
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration byte[] -> org.hibernate.type.BinaryType@4c1909a3
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration [B -> org.hibernate.type.BinaryType@4c1909a3
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@59505b48
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@59505b48
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@59505b48
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration row_version -> org.hibernate.type.RowVersionType@b9b00e0
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration image -> org.hibernate.type.ImageType@72e5a8e
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration characters -> org.hibernate.type.CharArrayType@7db12bb6
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration char[] -> org.hibernate.type.CharArrayType@7db12bb6
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration [C -> org.hibernate.type.CharArrayType@7db12bb6
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@2d52216b
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@2d52216b
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@2d52216b
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration text -> org.hibernate.type.TextType@3527942a
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration ntext -> org.hibernate.type.NTextType@5a45133e
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration blob -> org.hibernate.type.BlobType@576d5deb
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@576d5deb
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@70e9c95d
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration clob -> org.hibernate.type.ClobType@52719fb6
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@52719fb6
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration nclob -> org.hibernate.type.NClobType@5677323c
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@5677323c
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@4d154ccd
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@1e0b4072
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration serializable -> org.hibernate.type.SerializableType@2794eab6
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration object -> org.hibernate.type.ObjectType@71ba6d4e
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@71ba6d4e
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@63376bed
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@4145bad8
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@d86a6f
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@2892d68
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@5ab956d7
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@3646a422
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@750e2b97
2021-05-15 17:21:28 DEBUG BasicTypeRegistry:156 - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@3e27aa33
2021-05-15 17:21:28 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
2021-05-15 17:21:28 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
2021-05-15 17:21:28 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
2021-05-15 17:21:28 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
2021-05-15 17:21:28 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
2021-05-15 17:21:28 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
2021-05-15 17:21:28 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
2021-05-15 17:21:28 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
2021-05-15 17:21:28 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [seqhilo] -> [org.hibernate.id.SequenceHiLoGenerator]
